time	V(1)	V(2)	I(L1)
0.000000000000000e+000	-4.083490e-021	-6.533589e-015	4.083490e-018
7.857083927094575e-005	-5.996959e-008	-5.196318e-007	1.162939e-010
1.571416785418915e-004	-9.099217e-008	-7.884401e-007	1.764533e-010
2.357125178128373e-004	-9.306775e-008	-8.064248e-007	1.804783e-010
3.142833570837830e-004	-6.619632e-008	-5.735860e-007	1.283688e-010
3.928541963547287e-004	-1.037789e-008	-8.992360e-008	2.012495e-011
4.714250356256745e-004	7.438755e-008	6.445623e-007	-1.442534e-010
5.499958748966201e-004	1.881000e-007	1.629872e-006	-3.647662e-010
5.673209937853504e-004	5.518334e-007	4.781593e-006	-1.070123e-009
5.846428673192527e-004	1.618609e-006	1.402512e-005	-3.138829e-009
5.933160388072248e-004	2.774140e-006	2.403770e-005	-5.379651e-009
6.019627643976415e-004	4.747053e-006	4.113284e-005	-9.205552e-009
6.106303403684033e-004	8.133255e-006	7.047402e-005	-1.577212e-008
6.192814507683892e-004	1.392113e-005	1.206255e-004	-2.699606e-008
6.279455472720534e-004	2.384647e-005	2.066278e-004	-4.624340e-008
6.365993913874556e-004	4.082307e-005	3.537287e-004	-7.916466e-008
6.452613231125614e-004	6.991953e-005	6.058473e-004	-1.355889e-007
6.539168708397313e-004	1.197084e-004	1.037264e-003	-2.321402e-007
6.625774552693382e-004	2.050134e-004	1.776425e-003	-3.975649e-007
6.712340643735538e-004	3.510235e-004	3.041591e-003	-6.807096e-007
6.798938101060424e-004	6.011348e-004	5.208787e-003	-1.165729e-006
6.885510803589760e-004	1.029302e-003	8.918826e-003	-1.996038e-006
6.972103039499959e-004	1.762646e-003	1.527319e-002	-3.418148e-006
7.058679860632777e-004	3.018193e-003	2.615240e-002	-5.852922e-006
7.145268847500566e-004	5.168453e-003	4.478424e-002	-1.002274e-005
7.231848239676686e-004	8.850118e-003	7.668556e-002	-1.716228e-005
7.318435220981242e-004	1.515504e-002	1.313172e-001	-2.938889e-005
7.405016265851074e-004	2.595071e-002	2.248604e-001	-5.032407e-005
7.491602150136806e-004	4.317577e-002	3.741128e-001	-8.372746e-005
7.548711771979416e-004	6.019380e-002	5.215669e-001	-1.167299e-004
7.596896517849697e-004	8.049780e-002	6.972096e-001	-1.561247e-004
7.644603832144653e-004	1.072491e-001	9.238546e-001	-2.083616e-004
7.687615998644359e-004	1.379985e-001	1.167408e+000	-2.701128e-004
7.731397582060390e-004	1.759414e-001	1.437248e+000	-3.518828e-004
7.782132397576061e-004	2.260390e-001	1.758480e+000	-4.761385e-004
7.854293161555488e-004	3.004427e-001	2.218055e+000	-7.109605e-004
7.956936760298493e-004	3.965835e-001	2.862819e+000	-1.141645e-003
8.061166151701515e-004	4.638347e-001	3.478926e+000	-1.670349e-003
8.170994868271079e-004	4.772513e-001	4.026411e+000	-2.277576e-003
8.305302926707638e-004	3.996125e-001	4.463658e+000	-2.959461e-003
8.463292593586836e-004	2.008657e-001	4.620363e+000	-3.542850e-003
8.571707504487517e-004	1.012214e-002	4.467126e+000	-3.718819e-003
8.653264169811316e-004	-1.525997e-001	4.177710e+000	-3.660949e-003
8.739235224012547e-004	-3.190199e-001	3.741291e+000	-3.413784e-003
8.838929959537381e-004	-4.799971e-001	3.138729e+000	-2.932098e-003
8.952617316534820e-004	-5.945206e-001	2.422020e+000	-2.204193e-003
9.079776600578863e-004	-6.265888e-001	1.682603e+000	-1.285312e-003
9.156271387451727e-004	-5.855464e-001	1.324804e+000	-7.373614e-004
9.227506566925643e-004	-5.002255e-001	1.086637e+000	-2.747395e-004
9.276938783581823e-004	-4.175563e-001	9.878129e-001	-7.668617e-006
9.342240551460997e-004	-2.842052e-001	9.545686e-001	2.582255e-004
9.402498263329656e-004	-1.448729e-001	1.029994e+000	4.122179e-004
9.462872838653013e-004	7.343505e-003	1.227049e+000	4.610030e-004
9.523262938648721e-004	1.658670e-001	1.546648e+000	3.839471e-004
9.616659725138364e-004	4.060172e-001	2.206605e+000	4.660468e-005
9.708829007040062e-004	6.155708e-001	2.977092e+000	-5.078423e-004
9.803529860501399e-004	7.773808e-001	3.828751e+000	-1.282229e-003
9.890278812957701e-004	8.491527e-001	4.569344e+000	-2.111656e-003
1.000672987221489e-003	8.125213e-001	5.364083e+000	-3.249760e-003
1.013301556431834e-003	6.116502e-001	5.827127e+000	-4.293303e-003
1.027245006129537e-003	2.325965e-001	5.787005e+000	-5.034615e-003
1.036497148203427e-003	-8.533981e-002	5.389550e+000	-5.163532e-003
1.044928824620030e-003	-3.955073e-001	4.737618e+000	-4.929746e-003
1.053670861924590e-003	-6.927620e-001	3.852213e+000	-4.351505e-003
1.064354150521790e-003	-9.751271e-001	2.618629e+000	-3.278154e-003
1.075931639463672e-003	-1.169475e+000	1.215598e+000	-1.839847e-003
1.080548513614149e-003	-1.201135e+000	6.126280e-001	-1.207510e-003
1.085149502316165e-003	-1.199020e+000	-7.762330e-002	-5.574712e-004
1.088416211839563e-003	-1.186908e+000	-6.440286e-001	-9.821744e-005
1.090720330937208e-003	-1.174448e+000	-1.085159e+000	2.221950e-004
1.092918914617483e-003	-1.160948e+000	-1.517390e+000	5.244151e-004
1.094761549623764e-003	-1.148683e+000	-1.869053e+000	7.748094e-004
